Precio,Expensas,Calle,Altura,Piso,Link,Ambientes,Dormitorios,Baños,Toilettes,Estado,Antiguedad,Disposicion,Orientacion,Tipo_Balcon,Apto_Profesional,Apto_Credito,Tipo_Unidad,Tipo_Operacion,Sup_Cubierta_m2,Sup_Total_m2,Sup_Descubierta_m2,Precio_Ficha,Expensas_Ficha,Cant_Pisos_Edificio,Deptos_Por_Piso,Antiguedad_Edificio,Estado_Edificio,Aire_acondicionado_individual,Electricidad,Losa_radiante,Gas_natural,Agua_corriente,Agua_caliente,Balcón,Terraza,Jardín,Patio,Baulera,Cochera,Muebles_de_cocina,Lavarropas,Lavavajillas,Conexión_para_lavarropas,Permite_Mascotas,Apto_Crédito,Ascensor,Pileta,Piscina,Parrilla,SUM,Gimnasio,Sauna,Laundry,Seguridad_24hs,Vigilancia,Acceso_para_personas_con_movilidad_reducida,Pavimento,ABL,Smart_Amenities,Smart_Losa_Central,Smart_Luminoso,Smart_Balcon_Aterrazado
1.600 USD,326.000 ARS,FRENCH,2700,N/A,https://www.remax.com.ar/listings/depto-alquiler-4-ambientes-dependencia-recoleta,4,4,3,N/A,N/A,N/A,frente,N/A,N/A,N/A,N/A,N/A,N/A,100,200,100,N/A,326.000,N/A,N/A,N/A,N/A,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
750.000 ARS,150.000 ARS,SAN MARTIN,6900,N/A,https://www.remax.com.ar/listings/alquiler-departamento-monoambiente-balcon-1,1,1,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,41.09,44.14,3.05,N/A,150.000,N/A,N/A,N/A,N/A,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
750.000 ARS,280.500 ARS,Alfredo R. Bufano,1000,N/A,https://www.remax.com.ar/listings/alquiler-dep-2-amb-tipo-duplex-flores,2,1,1,1,N/A,N/A,frente,norte,N/A,N/A,N/A,N/A,N/A,52,52,N/A,N/A,280.500,N/A,N/A,N/A,N/A,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
590 USD,142.000 ARS,Avenida Eva Perón,5300,N/A,https://www.remax.com.ar/listings/departamento-en-alquiler-mataderos,3,2,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,50,54,4,N/A,142.000,N/A,N/A,N/A,N/A,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
550 USD,129.000 ARS,CUBA,3800,N/A,https://www.remax.com.ar/listings/ph-3-ambientes-a-estrenar-con-patio-bajas-expensas,1,1,1,N/A,N/A,N/A,frente,noroeste,N/A,N/A,N/A,N/A,N/A,31,37.1,N/A,N/A,129.000,N/A,N/A,N/A,N/A,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
1.400.000 ARS,150.000 ARS,DEL LIBERTADOR AV.,6100,N/A,https://www.remax.com.ar/listings/alquiler-oficina-sobre-libertador,N/A,N/A,2,N/A,N/A,N/A,frente,N/A,N/A,sí,N/A,N/A,N/A,57.25,62.4,5.15,N/A,150.000,N/A,N/A,N/A,N/A,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
750.000 ARS,120.000 ARS,CASTRO BARROS,1000,N/A,https://www.remax.com.ar/listings/depto-monoamb-a-estrenar-alquiler-balcon-en-boedo,1,N/A,1,N/A,N/A,N/A,contrafrente,oeste,N/A,N/A,N/A,N/A,N/A,37,41,4,N/A,120.000,N/A,N/A,N/A,N/A,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
550 USD,129.000 ARS,CUBA,3800,N/A,https://www.remax.com.ar/listings/monoambiente-amoblado-equipado-balcon-excelente,1,1,1,N/A,N/A,N/A,frente,noroeste,N/A,N/A,N/A,N/A,N/A,31,37.1,N/A,N/A,129.000,N/A,N/A,N/A,N/A,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
950.000 ARS,235.200 ARS,CAMPICHUELO,0,N/A,https://www.remax.com.ar/listings/alquiler-2-ambientes-balcon-caballito-amenities,2,1,1,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,40,43,3,N/A,235.200,N/A,N/A,N/A,N/A,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,1,0
550 USD,110.000 ARS,MENDEZ DE ANDES,1300,N/A,https://www.remax.com.ar/listings/alquiler-hermoso-monoambiente-al-frente-caballito,1,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,30.57,35.93,5.36,N/A,110.000,N/A,N/A,N/A,N/A,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0
