Precio,Expensas,Calle,Altura,Piso,Link,Ambientes,Dormitorios,Baños,Toilettes,Estado,Antiguedad,Disposicion,Orientacion,Tipo_Balcon,Apto_Profesional,Apto_Credito,Tipo_Unidad,Tipo_Operacion,Sup_Cubierta_m2,Sup_Total_m2,Sup_Descubierta_m2,Precio_Ficha,Expensas_Ficha,Cant_Pisos_Edificio,Deptos_Por_Piso,Antiguedad_Edificio,Estado_Edificio,Aire_acondicionado_individual,Electricidad,Losa_radiante,Gas_natural,Agua_corriente,Agua_caliente,Balcón,Terraza,Jardín,Patio,Baulera,Cochera,Muebles_de_cocina,Lavarropas,Lavavajillas,Conexión_para_lavarropas,Permite_Mascotas,Apto_Crédito,Ascensor,Pileta,Piscina,Parrilla,SUM,Gimnasio,Sauna,Laundry,Seguridad_24hs,Vigilancia,Acceso_para_personas_con_movilidad_reducida,Pavimento,ABL,Smart_Amenities,Smart_Losa_Central,Smart_Luminoso,Smart_Balcon_Aterrazado
77.000 USD,36.000 ARS,Avenida Juan de Garay,4200,N/A,https://www.remax.com.ar/listings/venta-departamento-2-ambientes-boedo-1,2,1,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,31.64,38.4,0.64,N/A,36.000,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
216.000 USD,300.000 ARS,MERCEDES,4300,N/A,https://www.remax.com.ar/listings/3-ambientes-c-cochera-y-baulera-en-villa-devoto,3,2,1,1,N/A,N/A,contrafrente,suroeste,N/A,N/A,sí,N/A,N/A,57,65,8,N/A,300.000,N/A,N/A,N/A,N/A,1,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
240.000 USD,230.000 ARS,CHARCAS,3200,N/A,https://www.remax.com.ar/listings/venta-departamento-3-ambientes-recoleta-balcon-2,3,2,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,sí,N/A,N/A,77.91,83.79,5.88,N/A,230.000,N/A,N/A,N/A,N/A,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
200.000 USD,250.000 ARS,OLAZABAL,4700,N/A,https://www.remax.com.ar/listings/venta-dpto-3-amb-villa-urquiza-c-amplio-balcon,3,2,1,1,N/A,N/A,frente,norte,N/A,N/A,N/A,N/A,N/A,62,113.4,30,N/A,250.000,N/A,N/A,N/A,N/A,1,1,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0
198.000 USD,260.000 ARS,VIEL,400,N/A,https://www.remax.com.ar/listings/venta-departamento-3-amb-balcon-a-nuevo-caballito,3,2,1,1,N/A,N/A,contrafrente,N/A,N/A,sí,N/A,N/A,N/A,60.36,73.08,12.72,N/A,260.000,N/A,N/A,N/A,N/A,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
62.000 USD,200.000 ARS,COLOMBRES,900,N/A,https://www.remax.com.ar/listings/monoambiente-balcon-excelente-ubicacion,1,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,27.89,29.78,1.89,N/A,200.000,N/A,N/A,N/A,N/A,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
260.000 USD,350.000 ARS,PUEYRREDON AV.,1600,N/A,https://www.remax.com.ar/listings/venta-recoleta-4-ambientes-con-dependencia,4,3,1,2,N/A,N/A,N/A,N/A,N/A,N/A,sí,N/A,N/A,102,114,12,N/A,350.000,N/A,N/A,N/A,N/A,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
265.300 USD,N/A,CHARCAS,4900,N/A,https://www.remax.com.ar/listings/venta-ph-4-ambientes-palermo-balcon-terraza,4,3,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,104,146,7,N/A,N/A,N/A,N/A,N/A,N/A,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1
94.500 USD,N/A,CACHI,900,N/A,https://www.remax.com.ar/listings/venta-casa-5-ambientes-pompeya-lote-propio,5,4,2,N/A,N/A,N/A,frente,este,N/A,N/A,N/A,N/A,N/A,144,200,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
74.000 USD,98.000 ARS,CAMPANA,4100,N/A,https://www.remax.com.ar/listings/venta-departamento-2-amb-apto-credito-villa-devoto,2,1,1,N/A,N/A,N/A,interno,norte,N/A,N/A,sí,N/A,N/A,41,41,N/A,N/A,98.000,N/A,N/A,N/A,N/A,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
192.500 USD,355.000 ARS,MIGUELETES,1200,N/A,https://www.remax.com.ar/listings/venta-departamento-3-amb-dependencia-cochera-fija,3,2,1,1,N/A,N/A,N/A,noreste,N/A,N/A,N/A,N/A,N/A,71.13,78.66,7.53,N/A,355.000,N/A,N/A,N/A,N/A,0,1,1,0,1,0,1,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,0
86.000 USD,150.000 ARS,SAN LUIS,200,N/A,https://www.remax.com.ar/listings/venta-monoambiente-a-estrenar-con-balcon-3,1,N/A,1,N/A,N/A,N/A,contrafrente,norte,N/A,N/A,o,N/A,N/A,39.2,43.57,4.37,N/A,150.000,N/A,N/A,N/A,N/A,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0
92.000 USD,150.000 ARS,SAN LUIS,200,N/A,https://www.remax.com.ar/listings/venta-departamento-2-ambientes-torre-amenities-1,2,1,1,N/A,N/A,N/A,contrafrente,norte,N/A,N/A,o,N/A,N/A,45.8,51.24,5.44,N/A,150.000,N/A,N/A,N/A,N/A,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0
156.000 USD,250.000 ARS,SAN LUIS,200,N/A,https://www.remax.com.ar/listings/venta-departamento-3-ambientes-en-suite-balcon-1,3,2,2,N/A,N/A,N/A,frente,sureste,N/A,N/A,o,N/A,N/A,62.38,66.6,4.22,N/A,250.000,N/A,N/A,N/A,N/A,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0
