Precio,Expensas,Calle,Altura,Link,Ambientes,Dormitorios,Baños,Antiguedad,Disposicion,Orientacion,Apto_Profesional,Apto_Credito,Tipo_Unidad,Sup_Cubierta_m2,Sup_Total_m2,Sup_Descubierta_m2,Aire_acondicionado_individual,Electricidad,Losa_radiante,Gas_natural,Agua_corriente,Agua_caliente,Balcón,Terraza,Jardín,Patio,Baulera,Cochera,Muebles_de_cocina,Lavarropas,Lavavajillas,Conexión_para_lavarropas,Permite_Mascotas,Ascensor,Pileta,Parrilla,SUM,Gimnasio,Sauna,Laundry,Seguridad_24hs,Acceso_para_personas_con_movilidad_reducida,Pavimento,ABL,Smart_Amenities,Smart_Losa_Central,Smart_Luminoso,Smart_Balcon_Aterrazado,fuente,_dup_interfuente,rango_sup,Moneda,Precio_num,Precio_USD,Precio_ARS,TC_CCL_aplicado,TC_fecha,ratio_expensas_precio
650.000 ARS,65000.0,IBERA,5200.0,https://www.remax.com.ar/listings/alquiler-dpto-torre-v-urquiza-apto-prof-moderno,1.0,0.0,1,35.0,Frente,Este,0,0,Departamento,30.0,33.25,3.25,1,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,remax,False,"(0.999, 35.0]",ARS,650000.0,438.83337834188495,650000.0,1481.2,2026-05-13T14:00:00.000Z,0.2
6.000 USD,100000.0,Alicia Moreau de Justo,700.0,https://www.remax.com.ar/listings/alquiler-depto-3-amb-pto-madero-cochera-y-jardin,3.0,2.0,1,35.0,Frente,Este,0,0,Departamento,483.0,560.0,16.0,1,1,0,0,1,0,1,1,1,0,0,1,0,0,0,0,1,1,1,0,0,1,0,1,1,0,0,0,1,0,1,0,remax,False,"(76.0, 900.0]",USD,6000.0,6000.0,8887200.0,1481.2,2026-05-13T14:00:00.000Z,0.2700513097488523
1.250.000 ARS,100000.0,Teniente General Eustaquio Frías,0.0,https://www.remax.com.ar/listings/alquiler-4-ambientes-balcon-villa-crespo,4.0,3.0,1,35.0,No informado,No informado,0,0,Departamento,73.09,83.66,3.51,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,remax,False,"(76.0, 900.0]",ARS,1250000.0,843.9103429651634,1250000.0,1481.2,2026-05-13T14:00:00.000Z,0.096
550.000 ARS,65000.0,José Bonifacio,1200.0,https://www.remax.com.ar/listings/alquiler-mono-amoblado-balcon-amenities-caballito,1.0,0.0,1,35.0,No informado,No informado,0,0,Departamento,28.0,32.0,4.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,remax,False,"(0.999, 35.0]",ARS,550000.0,371.3205509046719,550000.0,1481.2,2026-05-13T14:00:00.000Z,0.2727272727272727
500.000 ARS,65000.0,AGRELO,3600.0,https://www.remax.com.ar/listings/alquiler-de-departamento-monoambiente-en-almagro,1.0,0.0,1,35.0,No informado,No informado,0,0,Departamento,25.76,25.76,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,remax,False,"(0.999, 35.0]",ARS,500000.0,337.56413718606535,500000.0,1481.2,2026-05-13T14:00:00.000Z,0.122
350.000 ARS,65000.0,VIAMONTE,800.0,https://www.remax.com.ar/listings/alq-monoambiente-amoblado-vigilancia-amenities,1.0,0.0,1,35.0,No informado,No informado,0,0,Departamento,21.9,21.9,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,0,1,0,remax,False,"(0.999, 35.0]",ARS,350000.0,236.29489603024575,350000.0,1481.2,2026-05-13T14:00:00.000Z,0.5285714285714286
550.000 ARS,25000.0,TRES ARROYOS,1200.0,https://www.remax.com.ar/listings/alquiler-2-amb-caballito-norte,2.0,1.0,1,35.0,Frente,Este,0,0,Departamento,31.0,37.0,6.0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,remax,False,"(35.0, 42.0]",ARS,550000.0,371.3205509046719,550000.0,1481.2,2026-05-13T14:00:00.000Z,0.14545454545454545
350.000 ARS,65000.0,VIAMONTE,800.0,https://www.remax.com.ar/listings/alquiler-mono-ambiente-luminoso-vigilancia-24-hs,1.0,0.0,1,35.0,No informado,No informado,0,0,Departamento,25.66,25.66,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,0,1,0,remax,False,"(0.999, 35.0]",ARS,350000.0,236.29489603024575,350000.0,1481.2,2026-05-13T14:00:00.000Z,0.62
400.000 ARS,65000.0,PASO,400.0,https://www.remax.com.ar/listings/alquiler-monoambiente-div-kitchenette-luminoso,1.0,0.0,1,35.0,No informado,No informado,0,0,Departamento,26.4,26.4,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,remax,False,"(0.999, 35.0]",ARS,400000.0,270.05130974885225,400000.0,1481.2,2026-05-13T14:00:00.000Z,0.25
450.000 ARS,25000.0,ESCALADA AV.,1000.0,https://www.remax.com.ar/listings/alquiler-departamento-monoambiente-balcon,1.0,1.0,1,35.0,Contrafrente,Noroeste,0,0,Departamento,34.0,40.0,6.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,remax,False,"(35.0, 42.0]",ARS,450000.0,303.8077234674588,450000.0,1481.2,2026-05-13T14:00:00.000Z,0.26666666666666666
