Precio,Expensas,Calle,Altura,Link,Ambientes,Dormitorios,Baños,Antiguedad,Disposicion,Orientacion,Apto_Profesional,Apto_Credito,Tipo_Unidad,Sup_Cubierta_m2,Sup_Total_m2,Sup_Descubierta_m2,Aire_acondicionado_individual,Electricidad,Losa_radiante,Gas_natural,Agua_corriente,Agua_caliente,Balcón,Terraza,Jardín,Patio,Baulera,Cochera,Muebles_de_cocina,Lavarropas,Lavavajillas,Conexión_para_lavarropas,Permite_Mascotas,Ascensor,Pileta,Parrilla,SUM,Gimnasio,Sauna,Laundry,Seguridad_24hs,Acceso_para_personas_con_movilidad_reducida,Pavimento,ABL,Smart_Amenities,Smart_Losa_Central,Smart_Luminoso,Smart_Balcon_Aterrazado,fuente,_dup_interfuente,rango_sup,Moneda,Precio_num,Precio_USD,Precio_ARS,TC_CCL_aplicado,TC_fecha,ratio_expensas_precio
USD 91.000,220000.0,ZAPATA,300.0,https://www.argenprop.com/departamento-en-venta-en-palermo-hollywood-1-ambiente--17926398,1.0,0.0,1,40.0,Interno,Noreste,0,0,Departamento,22.0,22.0,0.0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,1,1,1,1,1.0,0,1,1,0,0,0,argenprop,False,"(-0.001, 39.0]",USD,91000.0,91000.0,134789200.0,1481.2,2026-05-13T14:00:00.000Z,0.0016321782457348216
USD 275.000,690000.0,11 de Septiembre de 1888 al,2100.0,https://www.argenprop.com/departamento-en-venta-en-belgrano-4-ambientes--18668115,4.0,3.0,1,50.0,Frente,Oeste,0,Sí,Departamento,115.0,115.0,0.0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,1,0,argenprop,False,"(103.0, 992.0]",USD,275000.0,275000.0,407330000.0,1481.2,2026-05-13T14:00:00.000Z,0.0016939582156973462
USD 95.000,200000.0,Arenales al,2200.0,https://www.argenprop.com/departamento-en-venta-en-recoleta-2-ambientes--19138681,2.0,1.0,1,40.0,Lateral,No informado,0,0,Departamento,35.0,38.0,3.0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,1,0,0,0,argenprop,False,"(-0.001, 39.0]",USD,95000.0,95000.0,140714000.0,1481.2,2026-05-13T14:00:00.000Z,0.0014213226828886961
USD 365.000,480000.0,Manuel Ugarte,1855.0,https://www.argenprop.com/departamento-en-venta-en-belgrano-4-ambientes--19244168,4.0,3.0,4,10.0,Contrafrente,Norte,0,Sí,Departamento,94.0,102.0,8.0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.0,0,0,0,1,1,0,argenprop,False,"(72.0, 103.0]",USD,365000.0,365000.0,540638000.0,1481.2,2026-05-13T14:00:00.000Z,0.0008878399224619801
USD 180.000,400000.0,Mexico,4200.0,https://www.argenprop.com/departamento-en-venta-en-almagro-sur-3-ambientes--12110765,3.0,2.0,1,11.0,Frente,Este,1,Sí,Departamento,100.0,100.0,0.0,1,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,1.0,0,1,0,0,1,0,argenprop,False,"(72.0, 103.0]",USD,180000.0,180000.0,266616000.0,1481.2,2026-05-13T14:00:00.000Z,0.0015002850541602905
USD 120.000,220000.0,Venezuela,4000.0,https://www.argenprop.com/departamento-en-venta-en-almagro-sur-3-ambientes--19255522,3.0,2.0,1,40.0,Frente,Norte,1,Sí,Departamento,85.0,85.0,0.0,1,1,0,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0,1,0,0,1,0,argenprop,False,"(72.0, 103.0]",USD,120000.0,120000.0,177744000.0,1481.2,2026-05-13T14:00:00.000Z,0.0012377351696822396
USD 88.000,110000.0,San Luis,3300.0,https://www.argenprop.com/departamento-en-venta-en-almagro-2-ambientes--19028939,2.0,1.0,1,40.0,No informado,No informado,0,Sí,Departamento,28.0,37.0,9.0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,1,0,0,0,1,0,argenprop,True,"(-0.001, 39.0]",USD,88000.0,88000.0,130345600.0,1481.2,2026-05-13T14:00:00.000Z,0.0008439103429651633
USD 95.000,190000.0,Emilio Mitre,100.0,https://www.argenprop.com/departamento-en-venta-en-caballito-2-ambientes--19326297,2.0,1.0,1,50.0,Frente,Sudoeste,0,0,Departamento,40.91,43.15,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,argenprop,False,"(39.0, 53.0]",USD,95000.0,95000.0,140714000.0,1481.2,2026-05-13T14:00:00.000Z,0.0013502565487442614
USD 340.000,600000.0,"SCALABRINI ORTIZ, RAUL, AV.",1100.0,https://www.argenprop.com/departamento-en-venta-en-palermo-3-ambientes--19203168,3.0,2.0,1,2.0,Frente,Norte,0,Sí,Departamento,91.0,106.0,15.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0.0,0,0,1,0,1,0,argenprop,False,"(103.0, 992.0]",USD,340000.0,340000.0,503608000.0,1481.2,2026-05-13T14:00:00.000Z,0.0011914028371272894
USD 220.000,210000.0,Sanchez De Bustamante,68.0,https://www.argenprop.com/departamento-en-venta-en-almagro-4-ambientes--19161698,4.0,3.0,3,50.0,Frente,No informado,0,Sí,Departamento,128.0,141.0,13.0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,1,0,1,0,0,0,argenprop,False,"(103.0, 992.0]",USD,220000.0,220000.0,325864000.0,1481.2,2026-05-13T14:00:00.000Z,0.0006444406255370339
